review,rating,date,bank,source
This application is very important and advantage for transfer of money and finance in the coutry and foriegn country.,5,11/27/2025,CBE,Google Play Store
why didn't work this app?,1,11/27/2025,CBE,Google Play Store
The app makes our life easier. Thank you CBE!,5,11/27/2025,CBE,Google Play Store
this app very bad 👎,1,11/27/2025,CBE,Google Play Store
the most advanced app. but how to stay safe?,5,11/27/2025,CBE,Google Play Store
Good application,4,11/27/2025,CBE,Google Play Store
It is nice app,5,11/26/2025,CBE,Google Play Store
best,5,11/25/2025,CBE,Google Play Store
good app,5,11/25/2025,CBE,Google Play Store
"it suddenly asked me to enter the verification key I received. and it (*get your verification key from the nearest CBE Branch*) Now I'm in Australia, what do you expect me to do???! There is no nearest or furthermost cbe Branch!! SO FRUSTRATING! How can I manage my bank account now????",1,11/25/2025,CBE,Google Play Store
nice app...,5,11/25/2025,CBE,Google Play Store
very good banking service and fast service,5,11/24/2025,CBE,Google Play Store
thanks blc this app help me to use all time,5,11/24/2025,CBE,Google Play Store
good,5,11/24/2025,CBE,Google Play Store
why we can't send money to other people telebirr wallets??,1,11/24/2025,CBE,Google Play Store
አታፍሩም ግን ለ15 birr 11.50 ብር ስትቆርጡ ይስተካከልልን,1,11/23/2025,CBE,Google Play Store
በጣም ቀላልና ምቹ ነው።,5,11/23/2025,CBE,Google Play Store
wow,5,11/23/2025,CBE,Google Play Store
nice,5,11/22/2025,CBE,Google Play Store
you are the reason why i got ye chogara himem,1,11/22/2025,CBE,Google Play Store
it is so smart app i recommend it for everyone,5,11/22/2025,CBE,Google Play Store
excellent,5,11/22/2025,CBE,Google Play Store
ዳጊ,5,11/21/2025,CBE,Google Play Store
absolutely right,5,11/21/2025,CBE,Google Play Store
mid application it's so annoying,3,11/20/2025,CBE,Google Play Store
I used morethan one year,4,11/20/2025,CBE,Google Play Store
no word can explane about this app it is nice 👍👍👍👍👍,5,11/20/2025,CBE,Google Play Store
"It's great app,I love this app",5,11/20/2025,CBE,Google Play Store
Nice,5,11/19/2025,CBE,Google Play Store
suckkkks,1,11/19/2025,CBE,Google Play Store
not allowing to transfer and showing current statement updates.,1,11/19/2025,CBE,Google Play Store
I love you this app,5,11/19/2025,CBE,Google Play Store
"fast and convenient app, thanks for your dedication as a bank to provide good options to your cuatomers.",1,11/19/2025,CBE,Google Play Store
make life easy,5,11/19/2025,CBE,Google Play Store
securr,5,11/18/2025,CBE,Google Play Store
My most optional bank,5,11/17/2025,CBE,Google Play Store
5 star,5,11/16/2025,CBE,Google Play Store
it is fantastic app.,5,11/16/2025,CBE,Google Play Store
sifen,5,11/16/2025,CBE,Google Play Store
i like this√,4,11/16/2025,CBE,Google Play Store
Ok,3,11/15/2025,CBE,Google Play Store
ጥሩ App ነዉ ። የኔ የግል አስተያየት- Update ወይንም cache cleaning app ሲደረግ ለምንድነዉ ደግመን login ስናደርግ Restricted ሚያደርገዉ ቢስተካከል እንደ ሀሳብ ጥሩ ነዉ። በዛላይ ድጋሚ አክቲቬት ለማስደረግ ከፍለን ..,5,11/15/2025,CBE,Google Play Store
"Seriously, what’s going on with this app? The ""Pay to Beneficiary"" option is completely disabled for Android users, yet iOS users get full access without restrictions. Why are Android users being treated like second class customers? It’s the same app, the same service, but clearly not the same experience. This kind of platform bias is unacceptable, either give everyone the same features or be transparent about why you’re limiting functionality. Right now, it just feels unfair and frustrating.",1,11/15/2025,CBE,Google Play Store
Like,5,11/13/2025,CBE,Google Play Store
Nice and very useful app i like it!,5,11/13/2025,CBE,Google Play Store
Good,5,11/12/2025,CBE,Google Play Store
smart app,4,11/12/2025,CBE,Google Play Store
good App,5,11/12/2025,CBE,Google Play Store
sync problem may 22 2025 but the date stack on may 8 2025 help pls,5,11/12/2025,CBE,Google Play Store
ok,5,11/11/2025,CBE,Google Play Store
cbe is my choice,4,11/11/2025,CBE,Google Play Store
Awesome,5,11/11/2025,CBE,Google Play Store
I am not able to transfer. The app is not responding,1,11/11/2025,CBE,Google Play Store
Very convenient App,5,11/11/2025,CBE,Google Play Store
excellent but sometimes can not connect,5,11/10/2025,CBE,Google Play Store
wow apk,5,11/10/2025,CBE,Google Play Store
best 100 %,5,11/10/2025,CBE,Google Play Store
bad app,1,11/10/2025,CBE,Google Play Store
best app,5,11/10/2025,CBE,Google Play Store
nice app,5,11/10/2025,CBE,Google Play Store
bad app,4,11/10/2025,CBE,Google Play Store
the app constantly glitches and won't stop loading despite having a decent connection and a cleared cache. telebirr is way better,1,11/10/2025,CBE,Google Play Store
I can't access it properly I think it needs update,1,11/10/2025,CBE,Google Play Store
👌👌,5,11/10/2025,CBE,Google Play Store
best 👌,5,11/10/2025,CBE,Google Play Store
good,4,11/10/2025,CBE,Google Play Store
not Refresh,2,11/10/2025,CBE,Google Play Store
your statement is not used as wanted,1,11/9/2025,CBE,Google Play Store
good very good,5,11/9/2025,CBE,Google Play Store
this is absolute trash why because it's not Woking most time the servers are down even though I'm using 4g data Internet they steal not working they use to work with out even data package now it's trash can't even send money,1,11/9/2025,CBE,Google Play Store
Bayeee galatooma kana caalati nu gammachisa 🌏🤌🏻💴💸🥰👌🏻🙏🏻,5,11/8/2025,CBE,Google Play Store
Good !,5,11/8/2025,CBE,Google Play Store
i like it,5,11/8/2025,CBE,Google Play Store
Very nice app,5,11/8/2025,CBE,Google Play Store
the app is not functional this week.,4,11/8/2025,CBE,Google Play Store
very updated bank,5,11/5/2025,CBE,Google Play Store
